#Threonine - chi1 = 60
#
#phi   psi  s11  s22  s33  siso  saniso  Æs*  ½  
#-135  -45  146.0  121.4  78.5  45.6  127.6  111.8  69.9  66.8  31.5  
#-120  -45  146.0  123.6  85.4  41.9  124.1  111.3  74.9  71.3  24.4  
#-105  -45  94.0  175.5  87.8  146.8  65.9  68.6  84.5  73.8  162.9  
#-90  -45  79.6  166.2  99.0  41.1  57.0  111.6  93.2  80.7  9.8  
#-75  -45  82.1  161.7  106.4  42.5  55.4  111.5  88.2  87.4  3.1  
#-7.0000000e+01  -4.5000000e+01   1.2611152e+02 1.3915186e+02 1.5343932e+02
#-60  -45  86.1  154.0  115.7  43.3  53.6  110.0  83.2  96.3  9.3  
#-165  -30  143.0  118.8  68.8  52.6  130.7  117.0  60.3  65.4  40.3  
#-150  -30  31.1  114.9  107.5  126.3  134.1  66.1  117.7  67.2  142.8  
#-135  -30  24.3  111.3  101.2  124.9  136.0  66.8  114.5  72.6  149.2  
#-120  -30  163.3  106.1  85.7  57.6  138.2  113.4  69.5  79.1  23.5  
#-105  -30  174.9  94.6  87.8  65.3  144.3  66.0  73.7  86.8  163.4  
#-90  -30  55.5  144.3  98.3  63.8  37.4  114.7  94.7  80.6  10.6  
#-70  -30  74.2  158.6  104.1  51.7  49.1  115.7  85.9  84.0  7.3  
#-65  -30  82.5  158.6  109.9  49.7  52.0  116.8  79.3  89.4  10.7  
#-165  -15  147.8  111.4  67.1  57.9  138.1  113.8  57.4  65.6  42.7  
#-150  -15  153.3  108.9  71.8  58.5  139.9  112.1  60.0  68.4  38.4  
#-135  -15  160.2  105.9  78.6  59.9  140.7  112.8  63.8  74.5  31.1  
#-120  -15  168.0  101.0  85.4  62.3  142.1  113.7  68.2  81.1  23.8  
#-105  -15  175.6  85.8  91.4  66.0  35.8  114.8  72.9  92.5  17.3  
#-90  -15  170.5  96.7  96.7  73.0  32.2  116.4  78.4  86.0  12.3  
#-75  -15  33.5  121.1  101.3  88.6  29.0  119.0  92.2  79.5  10.8  
#-7.0000000e+01  -1.5000000e+01   1.3093285e+02 1.3431311e+02 1.5414100e+02
#-60  -15  74.7  158.4  104.8  58.4  48.8  122.7  77.5  81.9  14.9  
#-165  0  151.3  105.0  66.2  61.5  145.0  108.5  56.0  63.8  45.4  
#-150  0  157.1  103.6  71.9  62.0  145.6  108.4  59.3  67.7  39.5  
#-135  0  163.9  101.3  78.6  63.3  145.9  109.5  63.3  73.5  32.1  
#-120  0  170.6  97.9  84.9  64.9  146.4  110.8  67.7  79.2  25.1  
#-105  0  175.8  85.8  90.5  66.4  33.7  112.5  72.1  95.3  18.7  
#-90  0  174.8  89.6  95.2  67.5  34.9  115.2  76.5  89.4  13.5  
#-75  0  170.3  93.1  99.2  67.8  38.3  119.4  80.9  82.4  11.9  
#-7.0000000e+01   0.0000000e+00   1.2965324e+02 1.3639402e+02 1.5406975e+02
#-60  0  168.3  93.0  101.3  64.9  46.5  126.0  83.0  73.8  17.7  
#-165  60  161.4  90.2  108.6  65.3  152.9  100.5  59.6  45.8  120.5  
#-150  60  164.4  92.8  105.4  64.6  153.5  97.2  62.4  48.8  126.3  
#-135  60  167.7  95.0  101.2  63.9  153.4  94.8  66.1  51.9  132.4  
#-120  60  170.0  97.3  96.7  62.5  152.3  93.1  70.2  54.5  137.8  
#-105  60  169.7  80.0  87.4  60.3  29.8  88.1  74.6  123.2  37.5  
#-90  60  167.2  102.8  90.7  57.7  147.6  88.3  78.6  58.0  34.4  
#-75  60  164.3  105.5  92.2  55.0  144.8  87.0  81.5  57.0  34.4  
#-7.0000000e+01   6.0000000e+01   1.2874784e+02 1.4486350e+02 1.5604513e+02
#-60  60  163.5  106.4  88.4  54.0  142.1  79.8  81.1  47.3  44.1  
#-165  75  160.9  90.2  109.1  65.0  152.6  100.6  59.4  45.4  119.8  
#-150  75  164.0  92.7  105.8  64.6  153.4  97.4  62.1  48.5  125.8  
#-135  75  167.5  95.2  101.4  63.6  153.0  95.2  66.1  51.3  131.8  
#-120  75  169.5  98.0  96.7  61.7  151.4  93.9  70.8  53.5  137.2  
#-105  75  168.3  101.5  87.7  58.8  148.6  86.9  75.9  55.4  38.2  
#-90  75  164.2  105.7  91.4  54.8  144.6  86.8  81.0  56.3  35.2  
#-75  75  21.5  111.2  86.7  130.5  139.1  94.7  94.1  55.3  144.9  
#-7.0000000e+01   7.5000000e+01   1.3190171e+02 1.4445348e+02 1.5615131e+02
#-60  75  27.7  117.7  90.2  136.8  131.6  99.7  90.5  47.5  137.5  
#-165  90  159.7  89.5  110.3  66.1  154.4  98.7  57.7  47.4  120.4  
#-150  90  163.4  91.7  106.5  66.0  155.3  95.5  60.5  50.8  126.7  
#-135  90  167.7  94.2  101.5  64.9  154.6  93.6  65.0  53.4  133.1  
#-120  90  170.4  97.2  96.3  62.7  152.6  92.3  70.4  55.6  138.9  
#-105  90  168.8  101.2  88.9  59.2  149.1  88.5  76.3  57.7  35.8  
#-90  90  17.3  106.9  86.3  126.5  143.5  91.2  97.1  59.5  148.5  
#-75  90  27.4  116.1  82.2  136.0  134.0  91.3  89.4  61.7  151.7  
#-7.0000000e+01   9.0000000e+01   1.3487262e+02 1.4398679e+02 1.5444254e+02
#-60  90  39.5  127.9  80.6  148.0  121.9  92.3  82.3  63.0  151.8  
#-165  105  21.5  89.6  111.5  113.4  23.8  94.2  123.6  129.1  123.0  
#-150  105  162.9  91.8  107.0  67.1  157.1  91.2  59.2  55.0  129.7  
#-135  105  168.1  93.6  101.3  66.5  156.5  89.4  64.0  58.1  136.6  
#-120  105  172.3  95.6  95.2  64.8  154.7  88.0  69.6  61.1  143.4  
#-105  105  8.3  98.2  91.1  117.9  151.9  93.4  104.2  64.5  29.7  
#-90  105  14.7  102.5  97.6  123.0  146.5  94.9  97.1  68.5  22.7  
#-75  105  26.7  111.2  105.4  134.2  135.0  96.7  88.1  75.2  15.0  
#-7.0000000e+01   1.0500000e+02   1.3681671e+02 1.4184315e+02 1.5283612e+02
#-60  105  44.8  122.6  117.0  153.4  114.6  99.5  79.9  90.2  10.1  
#-165  120  22.2  94.7  111.7  114.0  155.4  84.9  123.6  57.7  129.7  
#-150  120  17.3  94.5  106.7  113.1  155.9  83.4  120.8  61.5  135.6  
#-135  120  11.1  85.7  100.2  112.8  24.3  82.1  116.0  114.5  142.9  
#-120  120  5.2  86.1  93.3  113.0  25.0  80.5  110.4  110.0  150.8  
#-105  120  4.4  92.4  93.7  112.8  154.1  101.6  104.5  75.4  20.8  
#-90  120  11.3  88.9  101.2  111.8  153.9  103.6  97.8  81.3  11.7  
#-75  120  22.1  80.5  109.8  107.3  156.4  105.6  89.4  87.1  2.9  
#-7.0000000e+01   1.2000000e+02   1.3603474e+02 1.3932943e+02 1.5263828e+02
#-60  120  49.9  54.8  59.9  83.9  162.1  73.2  77.9  86.6  167.4  
#-165  135  22.2  102.4  108.1  114.3  144.4  65.6  123.4  74.5  142.3  
#-150  135  16.9  98.1  104.8  113.3  149.8  71.9  120.3  72.0  143.7  
#-135  135  10.0  95.4  98.4  112.3  151.0  72.4  115.4  75.6  150.2  
#-120  135  2.3  91.8  91.4  110.9  151.5  71.4  109.8  80.7  158.0  
#-105  135  6.6  86.3  95.4  108.2  152.2  110.2  103.6  86.4  14.1  
#-90  135  17.7  77.2  102.0  102.9  154.3  111.8  96.4  91.7  6.7  
#-75  135  147.3  64.2  108.7  85.5  156.0  113.5  92.6  95.2  5.8  
#-7.0000000e+01   1.3500000e+02   1.3164411e+02 1.3970509e+02 1.5330827e+02
#-60  135  50.3  130.0  115.0  84.6  26.1  115.4  76.8  85.0  14.1  
#-165  150  21.8  107.6  102.4  114.0  128.2  47.8  123.3  91.9  146.6  
#-150  150  16.3  100.7  102.2  113.1  141.0  60.6  120.0  83.2  149.1  
#-135  150  8.8  95.7  96.7  111.7  144.8  63.8  114.9  84.8  154.5  
#-120  150  0.5  90.1  90.5  109.5  146.8  64.2  109.2  88.9  160.8  
#-105  150  8.8  96.9  84.6  106.1  31.7  63.5  103.0  86.3  166.5  
#-90  150  19.3  74.2  100.7  101.4  149.6  117.8  96.1  98.1  10.1  
#-75  150  31.1  116.4  105.2  95.7  30.8  120.1  88.1  78.1  12.1  
#-7.0000000e+01   1.5000000e+02   1.2771279e+02 1.4034624e+02 1.5435409e+02
#-60  150  43.9  128.3  108.1  89.9  34.3  124.3  79.1  74.8  18.8  
#-165  165  158.6  108.0  78.8  66.8  124.0  136.8  56.3  96.7  34.5  
#-150  165  15.6  100.9  101.0  112.4  137.4  56.0  119.9  88.2  150.0  
#-135  165  8.1  95.1  96.2  110.9  142.4  60.3  114.9  88.7  155.1  
#-120  165  1.0  89.2  90.7  108.6  145.1  61.6  109.3  91.8  160.6  
#-105  165  171.6  82.9  85.6  74.2  146.3  61.1  76.3  95.9  165.0  
#-90  165  163.1  104.4  98.7  77.6  33.7  120.7  82.3  79.5  13.1  
#-75  165  154.3  112.5  101.8  81.0  35.9  124.4  88.9  74.0  16.0  
#-7.0000000e+01   1.6500000e+02   1.2535957e+02 1.4107379e+02 1.5522261e+02
#-60  165  144.6  122.4  102.7  84.7  41.1  130.6  96.2  67.4  23.5  
#-165  180  159.2  105.1  76.0  68.2  130.8  131.3  55.7  91.6  34.4  
#-150  180  165.1  98.5  77.9  68.9  142.0  119.9  59.7  84.9  30.8  
#-135  180  172.1  93.6  83.0  70.3  146.1  116.3  64.6  85.7  25.8  
#-120  180  178.0  89.0  88.3  72.1  147.9  115.7  69.6  88.8  20.4  
#-105  180  173.4  84.1  87.0  74.1  148.0  63.1  74.6  93.1  164.2  
#-90  180  166.8  101.2  96.9  76.2  33.4  119.8  79.6  81.5  13.4  
#-75  180  160.4  107.1  99.3  78.0  37.7  125.1  84.8  74.2  16.7  
#-7.0000000e+01   1.8000000e+02   1.2466591e+02 1.4198801e+02 1.5532618e+02
#-60  180  154.1  114.1  99.0  80.0  45.3  133.5  89.9  64.4  25.6  
#-165  -165  159.9  97.9  71.6  70.4  147.0  115.4  54.8  78.2  37.7  
#-150  -165  165.4  94.1  76.0  70.6  152.3  108.9  58.9  75.4  35.1  
#-135  -165  171.5  91.4  98.4  71.5  153.8  72.1  63.5  77.8  150.4  
#-120  -165  176.6  88.5  93.1  72.8  154.2  71.5  68.0  81.2  156.2  
#-105  -165  175.2  85.5  88.4  74.0  153.3  69.3  72.4  85.9  161.9  
#-90  -165  170.5  97.9  95.3  75.1  29.1  114.4  76.7  88.3  13.4  
#-75  -165  166.2  101.6  97.4  75.8  35.2  121.4  80.6  79.5  14.1  
#-6.5000000e+01  -1.6500000e+02   1.2694234e+02 1.4268058e+02 1.5386387e+02
#-60  -165  163.3  105.4  96.1  76.5  45.9  132.8  82.9  66.9  24.3  
#
#-6.5000000e+01  -9.0000000e+01   1.3375147e+02 1.4248845e+02 1.5226318e+02
#-6.5000000e+01  -7.5000000e+01   1.2968672e+02 1.4337333e+02 1.5171016e+02
#-7.0000000e+01  -1.6500000e+02   1.2549898e+02 1.4330202e+02 1.5482471e+02 # from smoothed surfaces

#-6.5000000e+01  -6.0000000e+01   1.2638748e+02   1.4222335e+02   1.5201815e+02
#-6.5000000e+01  -4.5000000e+01   1.2557824e+02   1.4007995e+02   1.5237892e+02
#-6.5000000e+01  -1.5000000e+01   1.3100795e+02   1.3482573e+02   1.5308138e+02
#-6.5000000e+01   0.0000000e+00   1.3100832e+02   1.3569198e+02   1.5294125e+02
#-6.5000000e+01   6.0000000e+01   1.2935415e+02   1.4501806e+02   1.5434544e+02
#-6.5000000e+01   7.5000000e+01   1.3250127e+02   1.4467010e+02   1.5449650e+02
#-6.5000000e+01   9.0000000e+01   1.3541777e+02   1.4444503e+02   1.5261142e+02
#-6.5000000e+01   1.0500000e+02   1.3737395e+02   1.4200743e+02   1.5131796e+02
#-6.5000000e+01   1.2000000e+02   1.3656160e+02   1.3915255e+02   1.5150904e+02
#-6.5000000e+01   1.3500000e+02   1.3189452e+02   1.3977352e+02   1.5231344e+02
#-6.5000000e+01   1.5000000e+02   1.2813749e+02   1.4027292e+02   1.5339346e+02
#-6.5000000e+01   1.6500000e+02   1.2622058e+02   1.4067199e+02   1.5434374e+02
#-6.5000000e+01   1.8000000e+02   1.2593795e+02   1.4137932e+02   1.5445630e+02
