Q	CG	CG	CG	
Q	CD	CD	CD	
Q	N	N	N	
Q	NE2	NE2	NE2	
Q	O	O	O	
Q	OE1	OE1	OE1	
				
G	H	H	HN	
G	HA2	1HA	HA1	
G	HA3	2HA	HA2	
G	C	C	C	
G	CA	CA	CA	
G	N	N	N	
G	O	O	O	
				
H	H	H	HN	
H	HA	HA	HA	
H	HB2	1HB	HB1	
H	HB3	2HB	HB2	
H	HD1	HD1	HD1	
H	HD2	HD2	HD2	
H	HE1	HE1	HE1	
H	HE2	XXX	HE2	
H	C	C	C	
H	CA	CA	CA	
H	CB	CB	CB	
H	CG	CG	CG	
H	CD2	CD2	CD2	
H	CE1	CE1	CE1	
H	N	N	N	
H	ND1	ND1	ND1	
H	NE2	NE2	NE2	
H	O	O	O	
				
I	H	H	HN	
I	HA	HA	HA	
I	HB	HB	HB	
I	HG12	1HG1	HG11	
I	HG13	2HG1	HG12	
I	HG21	1HG2	HG21	
I	HG22	2HG2	HG22	
I	HG23	3HG2	HG23	
I	HD11	1HD1	HD1	
I	HD12	2HD1	HD2	
I	HD13	3HD1	HD3	
I	C	C	C	
I	CA	CA	CA	
I	CB	CB	CB	
I	CG1	CG1	CG1	
I	CG2	CG2	CG2	
I	CD1	CD1	CD	
I	N	N	N	
I	O	O	O	
				
L	H	H	HN	
L	HA	HA	HA	
L	HB2	1HB	HB1	
L	HB3	2HB	HB2	
L	HG	HG	HG	
L	HD11	1HD1	HD11	
L	HD12	2HD1	HD12	
L	HD13	3HD1	HD13	
L	HD21	1HD2	HD21	
L	HD22	2HD2	HD22	
L	HD23	3HD2	HD23	
L	C	C	C	
L	CA	CA	CA	
L	CB	CB	CB	
L	CG	CG	CG	
L	CD1	CD1	CD1	
L	CD2	CD2	CD2	
L	N	N	N	
L	O	O	O	
				
K	H	H	HN	
K	HA	HA	HA	
K	HB2	1HB	HB1	
K	HB3	2HB	HB2	
K	HG2	1HG	HG1	
K	HG3	2HG	HG2	
K	HD2	1HD	HD1	
K	HD3	2HD	HD2	
K	HE2	1HE	HE1	
K	HE3	2HE	HE2	
K	HZ1	1HZ	HZ1	
K	HZ2	2HZ	HZ2	
K	HZ3	3HZ	HZ3	
K	C	C	C	
K	CA	CA	CA	
K	CB	CB	CB	
K	CG	CG	CG	
K	CD	CD	CD	
K	CE	CE	CE	
K	N	N	N	
K	NZ	NZ	NZ	
K	O	O	O	
				
M	H	H	HN	
M	HA	HA	HA	
