"L","EGlob","CCLosed","ELocClosed","Copen","ELocOpen","Circuit_rank","Dia","Mean_path_length","Coverage","time","mean_deg","var_deg","avg_deg","mean_fragsize","var_fragsize","avg_fragsize","Maximalcliques","label"
1.20261437908497,0.898692810457516,0.897996302898264,0.948998151449132,0.883391182165692,0.941695591082846,105,2,1.1358024691358,0.929824561403509,"1x1 struct",215.515059478613,115.932551717794,215.515059478613,34.7760060744115,19.4196839663437,34.7760060744115,6,0.089285714285714
1,1,1,1,1,1,1,1,0.666666666666667,0.140350877192982,"1x1 struct",47.2089314194577,26.7956823499491,47.2089314194577,54.2264752791069,6.70425823189273,54.2264752791069,1,0.473214285714286
2.01307189542484,0.628976034858388,0.834728234728235,0.917364117364117,0.77655924322591,0.87399925177703,39,5,1.90123456790123,0.798245614035088,"1x1 struct",38.1338133813381,19.8863942939943,38.1338133813381,14.9364936493649,6.62914357604418,14.9364936493649,8,0.267857142857143
1,1,1,1,1,1,3,1,0.75,0.105590062111801,"1x1 struct",247.65625,16.8474354777196,247.65625,89.5833333333333,10.3207388525707,89.5833333333333,1,0.484276729559748
1,1,1,1,1,1,1,1,0.666666666666667,0.099378881987578,"1x1 struct",142.257217847769,17.4713272867639,142.257217847769,85.5643044619423,17.4713272867639,85.5643044619423,1,0.591194968553459
1,1,1,1,"NaN","NaN",0,1,0.5,0.093167701863354,"1x1 struct",33.75,0,33.75,66.875,18.5615530061469,66.875,1,0.477987421383648
1,1,1,1,1,1,3,1,0.75,0.105590062111801,"1x1 struct",253.03738317757,11.6322919633948,253.03738317757,90.5373831775701,8.02483081254534,90.5373831775701,1,0.364779874213836
1,1,1,1,1,1,1,1,0.666666666666667,0.099378881987578,"1x1 struct",142.257217847769,17.4713272867639,142.257217847769,85.5643044619423,17.4713272867639,85.5643044619423,1,0.591194968553459
1,1,1,1,1,1,3,1,0.75,0.111801242236025,"1x1 struct",243.396226415094,14.7965916427907,243.396226415094,88.2075471698113,10.3272087255805,88.2075471698113,1,0.446540880503145
"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]"
1,1,1,1,1,1,3,1,0.75,0.105590062111801,"1x1 struct",239.719626168224,19.8474397958835,239.719626168224,88.3177570093458,11.7784202962053,88.3177570093458,1,0.452830188679245
2.52941176470588,0.553081232492997,0.780672268907563,0.890336134453782,"NaN","NaN",25,7,2.38062283737024,0.735483870967742,"1x1 struct",25.9800412648954,22.1835297515832,25.9800412648954,12.9226493747105,5.51065569326845,12.9226493747105,10,0.431372549019608
1.16666666666667,0.916666666666667,0.916666666666667,0.958333333333333,0.833333333333333,0.916666666666667,2,2,0.875,0.148387096774194,"1x1 struct",39.8395721925134,35.0807845264664,39.8395721925134,42.5802139037433,21.7224392180285,42.5802139037433,2,0.490196078431373
1,1,1,1,"NaN","NaN",0,1,0.5,0.032258064516129,"1x1 struct",80.3571428571429,0,80.3571428571429,90.1785714285714,13.8895974875929,90.1785714285714,1,0.549019607843137
1.82142857142857,0.675595238095238,0.845833333333333,0.922916666666667,"NaN","NaN",5,4,1.59375,0.238709677419355,"1x1 struct",23.18401937046,12.8030365235162,23.18401937046,20.8232445520581,9.70768755731869,20.8232445520581,5,0.509803921568627
1.16666666666667,0.916666666666667,0.916666666666667,0.958333333333333,0.833333333333333,0.916666666666667,2,2,0.875,0.148387096774194,"1x1 struct",39.8395721925134,35.0807845264664,39.8395721925134,42.5802139037433,21.7224392180285,42.5802139037433,2,0.490196078431373
1.83333333333333,0.653174603174603,0.784242741385599,0.892121370692799,0.721696028838886,0.857118895214133,58,4,1.74603174603175,0.825806451612903,"1x1 struct",37.2735065472496,26.8341403645656,37.2735065472496,14.5753894357246,8.47231869381301,14.5753894357246,14,0.490196078431373
1,1,1,1,1,1,1,1,0.666666666666667,0.038709677419355,"1x1 struct",126.406926406926,8.24786098842322,126.406926406926,77.0562770562771,21.114715841138,77.0562770562771,1,0.516339869281046
1.9047619047619,0.642857142857143,0.880952380952381,0.940476190476191,"NaN","NaN",2,3,1.63265306122449,0.187096774193548,"1x1 struct",26.063591580833,11.5171642625934,26.063591580833,24.4514106583072,11.4994763470769,24.4514106583072,4,0.522875816993464
1,1,1,1,1,1,3,1,0.75,0.981481481481482,"1x1 struct",171.700879765396,83.0412936161864,171.700879765396,78.4640762463343,41.4119864958977,78.4640762463343,1,0.084905660377359
1.23076923076923,0.884615384615385,0.932759548144164,0.966379774072082,0.91996891996892,0.95998445998446,48,2,1.13609467455621,0.981481481481482,"1x1 struct",184.240523275829,150.327072017972,184.240523275829,39.5325708602685,31.3741535530036,39.5325708602685,3,0.084905660377359
