VARS b 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50
FORMAT  %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f

  0.1497  0.2919  0.0198 -0.0892  0.0735 -0.0177  0.4026  0.2561  0.0452  0.1539  0.2019  0.1082 -0.0002 -0.2940 -0.0399 -0.0482  0.4425  0.0425  0.2185 -0.2279 -0.1334  0.3060 -0.3664  0.0441 -0.1904  0.2642  0.2863 -0.1460  0.0564 -0.1784 -0.0825 -0.1902 -0.2257  0.1745  0.1028  0.1013 -0.1399  0.3587  0.2567  0.0288 -0.3263  0.0302 -0.0588 -0.1919 -0.5002 -0.4245  0.1635 -0.2798  0.0952 -0.2431  0.2501
  0.4024  0.2906 -0.2057 -0.0729 -0.0851  0.4921  0.6032  0.0002  0.4949  0.2532 -0.1041 -0.0324  0.6339 -0.1245  0.5154 -0.6978 -0.0628  0.1676  0.1254  0.3415 -0.5241 -0.0959  0.0243  0.2300 -0.2723 -0.0345  0.1374 -0.0726 -0.2622  0.5455  0.5817  0.1862  0.4544 -0.1213 -0.3678  0.3285 -0.0452 -0.4886  0.0552  0.3302 -0.1862  0.1668  0.0100  0.1695  0.2441 -0.2652  0.2869  0.0642  0.0866 -0.0034 -0.0722
 -0.3155 -0.3216  0.2207 -0.4031 -0.4002 -0.1208  0.3306  0.4518  0.3786 -0.5749 -0.2975  0.7511 -0.2292  0.0400 -0.7653  0.5094 -0.0857  0.3294 -0.0950  0.0079  0.5732  0.1524 -0.0164  0.4394  0.0186 -0.4671  0.0978 -0.1123 -0.1862 -0.0141  0.0985  0.3431  0.2562 -0.3143  0.0596  0.0847  0.0654  0.3386 -0.4577 -0.4041  0.0774 -0.0081  0.1096  0.2618 -0.2552 -0.3642 -0.3422 -0.3014  0.0523  0.0943  0.2703
  0.7985  0.4643 -0.2180 -0.0008 -0.1005 -0.0921  0.3265 -0.1002  0.3437 -0.1741 -0.1979 -0.1328 -0.2029  0.3952 -0.0349 -0.3028 -0.8968  0.2570 -0.0701 -0.0704 -0.0219 -0.1735  0.0456  0.0407 -0.4926  0.3661  0.2309 -0.0727 -0.5552 -0.1921  0.1349 -0.0407 -0.0018  0.1909  0.8225  0.6094 -0.2391  0.1992 -0.4635  0.2047  0.0292 -0.4133  0.0126 -0.0354  0.2190  0.4261  0.1849 -0.2670 -0.5513 -0.3892  0.2988
 -0.7297  0.1314 -0.0167 -0.1208  0.3476 -0.3728  0.0411 -0.0961  0.0923 -0.0574 -0.5423 -0.1452 -0.2903 -0.1847  0.1308 -0.1259 -0.2046  0.2047  0.1459 -0.1173 -0.4645 -0.1905  0.0682  0.2154  0.0753  0.1925 -0.4279  0.4566 -0.1355  0.0982 -0.5509 -0.0434  0.1751  0.3417 -0.0418  0.1961  0.3078 -0.0101 -0.4008 -0.4020  0.2358 -0.0735 -0.4090  0.2460 -0.3056  0.1360 -0.0440 -0.3389 -0.3788 -0.1510  0.2457
  1.3170  0.2486  0.5077 -0.1312  0.3564  0.0257  0.3072 -0.1354  0.1101 -0.3733  0.1943  0.0207  0.1490  0.0815  0.3464  0.2930 -0.3790  0.2406 -0.2971  0.1007 -0.1867  0.1979 -0.4497  0.0187  0.2973  0.0418  0.1567  0.2463  0.0551  0.1101  0.3935  0.3520  0.1958  0.1013 -0.3775 -0.0417  0.1775 -0.5232 -0.2805  0.5012 -0.0611 -0.0115  0.1615  0.0673  0.0278 -0.1479 -0.5283  0.2994  0.0376 -0.1720  0.1702
  1.2597  0.2030 -0.0240 -0.0129 -0.3204 -0.2272  0.0928 -0.0257  0.0269 -0.1348  0.3995  0.0504  0.0984  0.1759  0.0629  0.3099  0.1552  0.2955  0.2022  0.1803 -0.1313  0.3615 -0.2189 -0.2240 -0.4824  0.0430 -0.0168  0.0165  0.0838  0.0813  0.5838 -0.1071  0.0548  0.1706  0.0680  0.4313 -0.3611  0.0426  0.3439  0.1129  0.0523  0.0112  0.0150  0.2863 -0.2582  0.2420 -0.3115  0.4409  0.0728 -0.3741 -0.0944
 -1.4834  0.1720 -0.3777  0.0919 -0.3028 -0.1773 -0.0169  0.2115  0.0893 -0.3714 -0.0396  0.0488  0.3361 -0.4390 -0.3300 -0.0826 -0.1727  0.2399  0.2409  0.4236  0.1686 -0.1643 -0.2703  0.1233 -0.1201 -0.0603 -0.1368  0.0511 -0.6157 -0.1643  0.0452  0.2948 -0.0348 -0.1477 -0.2347  0.0762 -0.3553  0.1224 -0.2767 -0.2758  0.1456 -0.1224 -0.1739 -0.3375 -0.0133  0.1272 -0.0171  0.3843  0.2475 -0.0343 -0.0827
 -1.5090  0.1511  0.1809 -0.2589 -0.4911 -0.0133 -0.0904 -0.0584  0.2511 -0.0846  0.3758 -0.2320 -0.4917 -0.1130  0.5403 -0.0984  0.1135 -0.2152  0.2247  0.1812 -0.4767 -0.1710  0.1855 -0.2237 -0.1098 -0.0435  0.1888 -0.0789  0.0302 -0.0936  0.3627 -0.0792 -0.2793 -0.1076 -0.2809 -0.2690 -0.0136 -0.0193 -0.0100  0.0213  0.0167 -0.2157  0.0342 -0.0134  0.3896  0.0334  0.1045 -0.3342 -0.1343  0.0489  0.0984
  1.3333  0.1290  0.1473 -0.3122  0.0683  0.4461 -0.0883 -0.1683 -0.0926 -0.0252  0.1758 -0.2664  0.2892  0.0199  0.2790  0.0208  0.1809  0.0471 -0.1171 -0.0027  0.1062 -0.0404  0.2083 -0.1489  0.1272  0.1875  0.0524 -0.2544  0.1315 -0.2046 -0.1101  0.0119  0.6203 -0.1110  0.1147  0.0235 -0.1474  0.0822 -0.0495  0.0248  0.0011  0.2294  0.1155 -0.0768  0.3509  0.3247  0.1317  0.2545 -0.1183 -0.0972  0.0231
