VARS b 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50
FORMAT  %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f

  0.7159  0.5979  0.9015  0.1389 -0.9715 -0.2666 -0.0479 -0.2939 -0.1260  0.1054  0.0935 -0.0863 -0.4577  0.0303  0.0018 -0.0721 -2.7686 -1.8822  0.3216  0.1126 -0.6147 -0.0932  0.6421 -0.3168  0.2401 -0.1545 -0.0609  0.5578 -0.0775  0.1555  0.0197  1.9688 -0.5833 -0.5890  0.6350  0.0856 -0.0005 -0.1946 -0.2283 -0.0774  0.2622 -0.0381  0.2816 -0.0367  0.1397 -0.4120 -0.1465  0.0082  0.0770 -0.0012  0.2203
  1.1675  2.3908  0.5334 -0.6579 -0.2253 -0.1601  0.1884  0.3324 -0.3514  0.0644  0.0121 -0.2765 -0.0378 -0.0700 -0.0506 -0.5945 -1.4372  0.4077 -0.6979  0.5469 -0.2825 -0.0821  0.3205 -0.6207 -0.2744 -0.2556 -0.5200 -0.3803  0.1568 -0.1734 -0.4503  2.0005  0.2526  0.0838  1.1639 -0.2262  0.0745 -0.4048 -0.0217 -0.0157  0.0854 -0.0440 -0.0754  0.2174 -0.0120 -0.2246 -0.1003  0.1636  0.0035  0.0468  0.1828
  0.8379  1.5227 -0.4977 -0.4892  0.4345 -0.7916  0.2041 -0.6522 -0.1738  0.4774  0.4138  0.2207 -0.9378  0.1048 -0.1178  0.5464 -0.3061 -0.4503  0.0421  0.8003  0.6849 -0.4809  0.1220  0.3930 -0.4375  0.0571 -0.0911 -0.3604 -0.0494 -0.1197  0.6926  0.9645 -0.2049 -0.3269 -0.8578  0.2477  0.0148  0.0309  0.0669  0.2000  0.1211 -0.0795 -0.0992 -0.1682  0.1356  0.1499 -0.0462  0.2686 -0.0992  0.0306 -0.1503
  0.0102  1.6991  1.2590  0.6996  0.5095  0.5116  0.1394  0.2142 -0.1273  0.1890 -0.2382 -0.4225  0.0441 -0.1849  0.1643  0.1565  1.2907  2.1966  1.0176 -0.5597 -0.0455 -0.5584 -0.3448  0.1271 -0.1045 -0.1067  0.1021 -0.1542 -0.4034 -0.0444  0.2116  1.6677 -1.3442 -0.3594  1.2950  0.6889 -0.1778 -0.0697  0.1443  0.2498  0.0398 -0.0780  0.5050  0.0457  0.0927 -0.3008 -0.0162  0.1291 -0.0222  0.0531 -0.0082
 -0.3404  0.9702 -0.5208 -0.1132 -1.5317  0.7224  0.1248 -0.0400 -0.4780 -0.7140 -0.3028 -0.1812 -0.5559 -0.1359 -0.0344 -0.2473 -1.5626 -1.0406  0.0325 -0.1753 -0.3733  0.3819  0.1916  0.1684  0.1721  0.0684 -0.2992 -0.1957  0.3381 -0.0377 -0.0012 -1.1581  1.3370  0.1780  0.8862 -0.9181 -0.1509  0.2376 -0.0459 -0.0224 -0.0723  0.1242  0.3374  0.0792  0.0414 -0.1978 -0.0756 -0.0286 -0.1592 -0.1417 -0.0453
  1.2984  0.3131 -0.1122  0.6871 -1.4530 -0.7251  0.5419  0.2984  0.6170 -0.2093  0.5021  0.0887 -0.4487  0.0944 -0.0505  0.2927  0.7570  0.9442  0.0265  1.1463 -0.9306  0.4940  0.0747  0.2524  0.3548  0.0035 -0.1187  0.4372  0.0096 -0.0498 -0.0415  1.4692  0.6568  0.0162  1.2955  0.4838 -0.6796 -0.1631  0.0382 -0.0230  0.1137  0.0937 -0.1466 -0.0935 -0.1632  0.4627  0.0442  0.0293  0.2111  0.0516  0.2629
  0.6262  0.9075 -0.4400  0.6899 -0.9003  0.3238  0.6388  0.3678 -0.1757 -0.5928 -0.0345  0.0559 -0.3938 -0.0820 -0.0424 -0.5789  0.7718  0.3130 -0.7610  1.7132  0.8569  0.1862 -0.2221 -0.5751 -0.1040  0.0378 -0.3762  0.6688 -0.0444  0.0529  0.0900  1.6940 -0.9943  0.0974 -1.0364  0.7391 -0.2946  0.3186 -0.2656 -0.1428  0.1639  0.0052 -0.5602  0.0792  0.0563 -0.5170 -0.0868 -0.0905 -0.0503 -0.0869 -0.0318
  0.4679  0.1846 -0.2264 -0.4535  0.8397  0.4407  0.1390 -0.2483  0.0550  1.1322 -0.2250 -0.2552  0.0962 -0.0222 -0.0889 -0.0194 -2.0611 -1.3098 -0.8529 -1.7864  0.4020  0.5388 -0.2478 -0.1071  0.0216 -0.2521 -0.0039 -0.1253 -0.0805 -0.1162  0.7932 -0.6662  1.4818 -0.0304 -1.3438 -0.4089  0.4034 -0.0143 -0.1012  0.0424 -0.0570 -0.1470 -0.5027 -0.1800 -0.0007  0.0929  0.0839  0.2368 -0.0972  0.0450 -0.0164
  1.0964  1.3777  0.3002  0.7104 -0.5099  0.5683  0.2518  0.2330 -0.2749 -0.2661  0.2770 -0.0102 -0.3426  0.0022  0.0640 -0.0319 -0.0514  0.7342  0.3478 -1.6219  0.6149  0.6641  0.2762 -0.7513  0.0058  0.1146  0.5093 -0.0579  0.0875  0.1065 -0.5623 -1.4783 -1.0199 -0.3195  0.2612  0.6217 -0.2494 -0.0579  0.0147  0.0274 -0.0048  0.1656  0.2985  0.1060  0.0560 -0.2158  0.0608  0.0175 -0.1233 -0.0806  0.0473
 -1.2335 -2.0356  1.8640 -0.5304  1.3499  1.0345 -0.1503 -0.3896  0.3374 -0.4180 -0.0656  0.2232 -0.4638  0.4284  0.1456 -0.2481  2.1035 -1.5108  0.1302  0.7155 -0.0006  0.2674 -0.1635 -0.4328  0.0819  0.0906  0.2400  0.2345 -0.2725  0.2121  0.3103  1.0011 -0.7124  0.0192  0.7517  0.0328 -0.0203 -0.2733  0.3314  0.2861  0.1485 -0.0526  0.2531 -0.0220  0.1252 -0.3713 -0.4175  0.2091  0.2636 -0.0877  0.0493
  0.3531  2.0398 -1.0986  0.3254  1.5634 -0.3535 -0.0889  0.3885  0.0863  0.2147  0.0229  0.2885  0.2963 -0.2176  0.0137 -0.4595 -1.6646 -1.2791 -0.0967  0.8029  1.0574 -0.2615  0.7060  0.2756  0.4584  0.1076 -0.2300 -0.1550  0.1558 -0.2233 -0.1160 -1.8297 -0.3603  0.0287 -1.5395  1.0065  0.0132  0.1523 -0.4916 -0.1157  0.0746 -0.1224  0.0173  0.2237 -0.3786  0.1556 -0.3116  0.0786 -0.1107 -0.9411 -0.6370
 -1.5481 -1.8963 -0.7728  0.4191 -0.3988 -0.7135  0.1760  0.0406  0.1543 -0.0985  0.3273  0.0269 -0.1469  0.0903 -0.1225  0.5578  1.1157 -1.9116 -0.8134  1.8939  1.0918  0.4644  0.4260 -0.1220 -0.3390  0.3980  0.0425  0.3086  0.0404 -0.1130 -0.3540  1.1027 -0.9560  0.1580 -1.7747 -0.5470 -0.0253  0.2460  0.4247 -0.3111  0.0259 -0.1206 -0.3397 -0.0631  0.0519 -0.5424  0.0297 -0.1762 -0.1082  0.0400  0.0160
 -0.1149  0.1445  0.5624  0.2402 -2.2583  0.1418  0.1678  0.2433 -0.0925  0.7838 -0.4696  0.2200  0.4400  0.2570  0.1428 -0.2289  0.6922  1.6189 -0.0480 -1.5655 -0.4549  0.1722 -0.2291  0.2133 -0.0638  0.5270  0.2337 -0.5167  0.1156  0.1004  0.0358 -0.4882 -1.2064  0.5442  0.2634 -0.6669  0.2577 -0.1546  0.0526  0.0693 -0.0799 -0.0847  0.0665 -0.0939 -0.0920 -0.1960  0.0454  0.0234  0.1045 -0.0056 -0.0498
 -0.6155 -0.4640 -0.1334 -0.1203  0.0622 -0.8914 -0.1641  0.3892 -0.3122  0.0540 -0.1229  0.1897 -0.6699  0.1306  0.0938  0.6668  0.2921  1.3688  0.8465 -0.8495  0.2181 -0.5422 -0.2659  0.1406  0.2653  0.4161  0.3367 -0.8595 -0.3167  0.2251 -0.1618  0.7795  0.9027  0.2365  1.2231  0.1833  0.2225 -0.3085  0.3214  0.0160  0.0250 -0.1082  0.4930 -0.1035  0.0359 -0.1413 -0.2065  0.1137 -0.2564 -0.0017  0.3077
 -0.3131 -2.0520 -1.2523 -0.6767  1.2752 -0.9737  0.0053  0.3627  0.5658 -0.2503  0.0110  0.2608  0.0193 -0.2924 -0.2278  0.3457 -0.0454 -1.6519  0.9014  0.9002  0.6338 -0.2283  0.1456  0.1400 -0.1916  0.0905  0.2040 -0.3633  0.2750 -0.0746 -0.5288 -1.5125 -1.3321  0.3857  1.3539 -0.2867  0.1852  0.4297 -0.0059 -0.2501 -0.0145  0.1151 -0.3269  0.2579  0.1192  0.3416 -0.2614  0.1725 -0.1328  0.1220  0.0616
