VARS b 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50
FORMAT  %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f

  0.5235 -0.3768 -0.3664  0.3562 -0.1689  0.2685  0.0137 -0.0269  0.3681 -0.2471 -0.2961 -0.2603  0.1446  0.1579 -0.1061 -0.2797 -0.0650 -0.3565 -0.1313 -0.1544 -0.2031  0.0141 -0.2764 -0.0004  0.0466 -0.2200 -0.0205 -0.2459  0.2222  0.2936 -0.0779  0.2053  0.0684  0.1948 -0.1704 -0.0463 -0.0895 -0.2469 -0.2094  0.0131  0.1805 -0.2904 -0.0697 -0.1487  0.2351  0.3903  0.2649  0.2137 -0.0918 -0.1601 -0.3170
 -0.3367  0.3363 -0.0197 -0.4021 -0.0942  0.3338  0.1280  0.1501  0.1490 -0.2065  0.3085 -0.3530 -0.2315  0.0225  0.4657 -0.1036 -0.1496  0.0872 -0.4786 -0.1127  0.1867 -0.2724 -0.0080  0.1545 -0.3603 -0.0144 -0.3190  0.0451  0.2618 -0.0526  0.0481 -0.0516  0.2243 -0.0757 -0.2262 -0.4375  0.3101 -0.1923 -0.0937  0.2305  0.3550  0.0007 -0.2715 -0.3903  0.2194 -0.2906 -0.3699  0.0943  0.4728 -0.1245  0.2380
  0.2040 -0.0536 -0.3533  0.0562 -0.1282  0.0019 -0.4081 -0.1733  0.1582 -0.3196 -0.0510  0.3144  0.3053  0.0664  0.1973 -0.1835 -0.0645 -0.1376  0.2115  0.3148  0.2266  0.4344  0.1111  0.0305  0.0626  0.0832 -0.0395 -0.0209  0.3606  0.2612 -0.3149  0.0332  0.0771 -0.1485  0.4781 -0.2017 -0.2104 -0.4159 -0.3026 -0.1136 -0.0071 -0.3400  0.0269  0.1194  0.2055 -0.1700 -0.1010  0.2262  0.3987  0.5077 -0.0305
 -0.1357 -0.1875 -0.2583  0.4086 -0.2202 -0.0979 -0.1636  0.3763 -0.0054  0.2393 -0.0639  0.1453 -0.1573 -0.2269  0.2445 -0.1939 -0.1806 -0.2384 -0.3922  0.0350  0.1376  0.1063  0.1960  0.0570  0.4068 -0.0722  0.2697 -0.2161 -0.1197 -0.2699  0.0188 -0.1881 -0.1184 -0.3953  0.0714 -0.2002 -0.0629  0.2281  0.2891  0.1619 -0.0685 -0.4839  0.1655 -0.1579  0.3077  0.3315  0.0367 -0.1317 -0.2481  0.3288  0.2028
  0.2036  0.5194  0.4538 -0.1321  0.0171 -0.0623 -0.0658  0.1375 -0.0142  0.4791  0.4319 -0.1643 -0.0848  0.1653 -0.0496  0.0798 -0.0120  0.2416  0.3940 -0.2022  0.0858 -0.0199  0.0767 -0.3040  0.0378 -0.3962 -0.2565  0.5066 -0.0105 -0.5113  0.0653  0.1007  0.1643  0.2428 -0.2045 -0.0082  0.2726 -0.1029 -0.0453 -0.2981  0.1479  0.0636 -0.1598 -0.0801  0.3046  0.0871 -0.4427  0.0124  0.3381 -0.4900  0.0265
 -0.7260 -0.1408  0.1451  0.1660 -0.1512  0.1630  0.5326  0.0633  0.0040  0.1708 -0.0347  0.1800  0.0983  0.2675  0.2247  0.0125  0.0213 -0.0903  0.3054  0.4542 -0.1861  0.0915 -0.2126 -0.2818  0.1852 -0.2235  0.1505 -0.2468  0.0872  0.0115  0.2247 -0.1528  0.1712  0.3587  0.1894  0.2117 -0.1198  0.0323  0.0134  0.0967  0.0142  0.1321 -0.2162  0.5338  0.0369 -0.5333  0.1349  0.0375  0.0911  0.2553 -0.2893
 -1.0892  0.1202  0.3231  0.1569  0.4727  0.2041  0.0622 -0.2716 -0.5412 -0.0960  0.0123  0.0219 -0.4956  0.2036  0.2721  0.0462  0.0925 -0.2938 -0.0565  0.1703 -0.2842  0.3187 -0.1493  0.0237 -0.5745  0.1017  0.2507 -0.2908  0.0603 -0.1602  0.2917  0.4034  0.2625 -0.0493  0.2391 -0.0138  0.1539  0.1971 -0.0126  0.0698 -0.3593 -0.0908 -0.0807  0.2089  0.3080 -0.3490 -0.2931 -0.2912 -0.2931  0.0789  0.1958
  1.0151  0.6287 -0.1211 -0.0393 -0.2227 -0.1621  0.3265  0.2436 -0.2702  0.0104  0.1710  0.1205 -0.1847  0.1914 -0.1270  0.4577 -0.0162  0.5441  0.2222  0.1996  0.0704  0.0489 -0.0467 -0.3943  0.1224 -0.0569  0.1235 -0.1443  0.2370 -0.4008  0.1162 -0.1826 -0.0347 -0.0804  0.0553  0.0758  0.0269  0.0214  0.0522  0.0794  0.0799  0.1784  0.2237  0.2141 -0.1539 -0.2567  0.0877  0.3497 -0.0871 -0.3245  0.0186
  1.3519  0.2162  0.0612  0.4471 -0.0148  0.1010 -0.2026  0.1687 -0.0609 -0.2304 -0.0001 -0.0948  0.2670  0.0382 -0.0675  0.1636 -0.0308 -0.1946  0.0615  0.0409  0.1697  0.1934 -0.2520 -0.2293  0.0380 -0.2950  0.1900  0.3159 -0.0002  0.2881 -0.4138  0.1766 -0.1606  0.2210  0.3764 -0.1780 -0.2898 -0.2257  0.0356 -0.2731  0.2629 -0.1257 -0.0158  0.1372 -0.0402 -0.2126 -0.1497 -0.0761 -0.3727  0.4622  0.2939
 -1.5321 -0.2180 -0.3849  0.2435 -0.4226 -0.4074  0.2861 -0.1808  0.3560 -0.1836 -0.3405 -0.1296 -0.0082  0.2348 -0.0455 -0.0166  0.1547 -0.1421 -0.0355  0.0746  0.0262  0.0261 -0.2996 -0.3205  0.2002 -0.0895  0.1453 -0.1272 -0.2093 -0.0245 -0.4335  0.0464 -0.1791  0.0342 -0.3175 -0.1188  0.2235  0.2504 -0.0433  0.2590 -0.1206  0.3173 -0.3304 -0.0788 -0.2806 -0.0464  0.0496 -0.0131  0.1682 -0.1914 -0.0519
