VARS b 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50
FORMAT  %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f

  0.3044 -0.3846 -0.0020  0.0263  0.1480 -0.3656  0.0103  0.0547  0.3090 -0.0463 -0.1057 -0.4668  0.0359  0.0865  0.2432 -0.2430  0.2562 -0.3686 -0.1213  0.1564  0.1322 -0.0102 -0.2127 -0.3386  0.2804 -0.2825  0.1645  0.3916 -0.0328 -0.1179 -0.3436  0.3404 -0.0408 -0.3709  0.3141 -0.1179 -0.2477 -0.2073 -0.3739 -0.1347  0.2533 -0.1866  0.1403  0.0454  0.0130  0.5204 -0.5190  0.1530 -0.2729 -0.6229  0.0256
 -0.0362 -0.0422  0.0664  0.1738  0.1225  0.2271  0.0938 -0.2699  0.4851 -0.3849 -0.3027  0.2831 -0.1282  0.1161  0.2740  0.4175  0.4524 -0.5717 -0.0234 -0.3965  0.1550  0.2832  0.2379  0.0222  0.0780 -0.1935 -0.1785  0.0937  0.3701  0.1566  0.3768  0.2501  0.1916 -0.0417  0.1747 -0.3752  0.0045  0.2824  0.0963  0.0961 -0.0298  0.3078  0.0569 -0.1394 -0.0239  0.4570  0.1135 -0.5090 -0.0445  0.1679 -0.3621
  0.1294  0.2774 -0.0837 -0.1163 -0.3249 -0.2241  0.3155 -0.0546  0.1633  0.2566 -0.1292  0.2113  0.2994 -0.0913  0.1695  0.3178  0.1084 -0.4609  0.2108 -0.2106 -0.2528  0.4559 -0.2725 -0.1855 -0.0244  0.2935  0.3857 -0.1893 -0.3034  0.0592  0.0076  0.1294  0.0362  0.2076 -0.1151  0.0745 -0.4838  0.2171 -0.1528  0.2485 -0.4131  0.1305 -0.1696 -0.1248 -0.2958 -0.5571  0.5440 -0.0815 -0.1384 -0.1036 -0.1149
  0.3295  0.1389 -0.2533 -0.0074 -0.0470  0.4117  0.5419  0.0967 -0.1456  0.3558  0.2027 -0.2518  0.3642  0.0886  0.3694 -0.4569 -0.0261 -0.0050  0.0071  0.0035 -0.0244 -0.1030  0.0177 -0.2626 -0.6676  0.2249  0.1619 -0.3156 -0.2707 -0.1402  0.3521  0.1505  0.4952 -0.1382 -0.2338  0.1675  0.1974 -0.5024  0.3648  0.0605 -0.0504 -0.2380 -0.0139  0.1739  0.0570  0.2739 -0.0307  0.1019  0.1860  0.3067 -0.0149
 -0.3469  0.1741 -0.1568 -0.5535  0.3503 -0.5460 -0.4051  0.4406  0.1137 -0.4944  0.1890  0.3114  0.0490 -0.4330  0.0648  0.0723 -0.2366  0.1705  0.2666  0.0798  0.1250  0.0311 -0.1235  0.3874 -0.2439  0.0931  0.3083 -0.1623 -0.2338 -0.3367  0.0521  0.3201  0.2223 -0.1953 -0.0001  0.3787 -0.1521  0.0279 -0.1310  0.3346 -0.1975 -0.5246  0.2355 -0.0400 -0.1224 -0.4108  0.1597 -0.0037  0.1338 -0.1446  0.1987
  0.6411  0.2035 -0.2932 -0.3130 -0.2922 -0.0753  0.5407 -0.3530  0.1418  0.0618 -0.0601  0.1426 -0.4754  0.1249  0.2987 -0.2940 -0.2129  0.2631 -0.3072 -0.2827  0.3930  0.2424  0.1535  0.1378 -0.1207  0.3141 -0.0605  0.0990 -0.4148 -0.0143  0.1835  0.0769 -0.1653 -0.0177  0.1817  0.1998  0.0282  0.0372 -0.0430  0.0489 -0.0476 -0.1932 -0.0159 -0.0049  0.1102  0.3171 -0.1283  0.2339  0.1545 -0.4461  0.3434
 -0.8733 -0.0782  0.0101  0.1879  0.1786 -0.0985  0.0605 -0.1246 -0.0714 -0.1423 -0.2650  0.2323 -0.2605 -0.3238  0.2109 -0.0727  0.0882 -0.2202  0.0415 -0.1501 -0.2953  0.0259 -0.3707  0.2412  0.4282 -0.0836 -0.3410  0.3553  0.0268  0.0357 -0.4536  0.0058 -0.1599 -0.0309  0.1259  0.4600  0.3692  0.2510 -0.2732 -0.5499  0.4110  0.0334 -0.3180 -0.0351 -0.3221  0.2291 -0.0676 -0.3261 -0.2464 -0.1181  0.0574
  0.9952  0.1390  0.4450 -0.5943 -0.0201 -0.3046  0.2115 -0.3812  0.2291 -0.5126 -0.0899 -0.1791  0.1857 -0.2063  0.0668 -0.4618 -0.3079 -0.1742 -0.1361 -0.1316 -0.1377  0.4734 -0.1560 -0.3163  0.1966 -0.3353  0.3613  0.2514 -0.3342  0.2151  0.3002 -0.0902 -0.1795 -0.3916  0.1697 -0.0301  0.2239 -0.0725 -0.3814  0.1357 -0.2832 -0.0257  0.1011  0.2472  0.3378  0.2235 -0.2301 -0.1782 -0.0907  0.1845  0.1747
  1.2889  0.4241  0.1015 -0.0957 -0.2030 -0.2732  0.0586 -0.2450  0.0607 -0.3300  0.2410  0.0656 -0.0530  0.0806 -0.3301  0.1804  0.3929  0.1090  0.2895  0.1053  0.1524  0.1334  0.0312 -0.2615 -0.3278  0.1122  0.2270  0.0834  0.2362 -0.0444  0.3146 -0.3135  0.2855  0.0810 -0.0185  0.2648 -0.3111  0.1892  0.3051 -0.0625 -0.1279 -0.0039 -0.1331  0.0228 -0.3103  0.2410 -0.3101  0.2661  0.3699 -0.2191 -0.0074
 -1.4018 -0.3654  0.0171  0.1525 -0.2375 -0.1013  0.1906  0.3247 -0.0558  0.2177  0.1564  0.0119  0.1441 -0.6999 -0.4248 -0.3829 -0.5379  0.2641  0.0921  0.3897  0.5895 -0.2409 -0.1696  0.3180 -0.4751 -0.4589 -0.1216  0.4977 -0.0966 -0.5359 -0.0702  0.3225 -0.0792 -0.0065 -0.5292 -0.3448 -0.2236 -0.1234 -0.3483 -0.2667  0.0873  0.0422 -0.0840 -0.3326 -0.2539 -0.2981  0.0111  0.5104  0.2289  0.1440 -0.3204
