VARS b 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50
FORMAT  %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f

  1.1145 -0.2013  0.7989  0.5953  1.1597 -0.6778  0.0553 -0.0377 -0.1368  0.0019 -0.3962 -0.2692 -0.2019  0.0068 -0.1369 -0.2185 -1.5928  1.8298  0.1344 -0.2191 -0.7415  0.0100  0.0831 -0.7014 -0.5521 -0.1500  0.1224 -0.3373  0.4098 -0.1300 -0.1378  1.9559  1.2773  0.3445 -0.4335 -0.4641  0.0540  0.7397 -0.2187 -0.0743 -0.1304 -0.0850  0.4197  0.1667 -0.0911 -0.5519 -0.1396 -0.0269  0.0822 -0.0349  0.0845
 -0.4086 -0.8376  1.6286 -0.7589 -1.0542  0.2095  0.4176 -0.1689  0.3658  0.2874  0.0027  0.0449  0.1299 -0.0260 -0.1247 -0.2108  0.0381  0.5203 -0.7165 -2.0462 -0.7892 -0.0841  0.2662 -0.3602  0.2818 -0.2458 -0.1093 -0.4751 -0.1597  0.0637  0.1517  0.9303  0.9455 -0.2454 -0.3240  0.9347 -0.0348  0.0513 -0.0865 -0.0298 -0.3537 -0.0984 -0.3300 -0.1019  0.0703  0.2370  0.0570  0.0704 -0.2903 -0.1223 -0.0721
  0.5995  0.9981  0.8286 -0.2892 -1.2415  0.1196  0.1355 -0.4214  0.1109 -0.3040  0.0155  0.0856 -0.8102 -0.3468  0.0780 -0.8072 -2.6165 -1.7334  0.2690  0.4691 -0.3973  0.1618  0.1162 -0.1714  0.3586 -0.3053 -0.2550  0.1049 -0.2375  0.3028 -0.1089  1.9491 -0.7707 -0.6789  0.6399 -0.0159  0.2748  0.1131 -0.1736  0.2995  0.2774  0.0428  0.3631 -0.0035  0.0587 -0.3329  0.0935  0.0740 -0.0554  0.1694  0.2445
  1.2733  2.3900  0.4436 -0.4679 -0.0885 -0.1171  0.1852  0.0136 -0.2775 -0.0630 -0.0875 -0.3550 -0.1810  0.0265  0.2191 -0.6576 -1.5286  0.5137 -0.9172  0.4915 -0.3892 -0.2579  0.2849 -0.5607  0.1733  0.1972 -0.1796 -0.0059  0.1937  0.0234 -0.1679  2.0033  0.3349 -0.2597  1.1791 -0.6244  0.0724  0.3946  0.1604  0.2732  0.0924 -0.3195 -0.1281 -0.1129 -0.0028 -0.5591  0.1616 -0.0335  0.3793 -0.0034  0.0582
  0.7629  1.5060 -0.5749 -0.2938  0.5301 -0.6711 -0.0404 -0.3393  0.2472  0.3410  0.1708  0.1918 -0.6743 -0.2484 -0.0454  0.5666 -0.0819 -0.4958  0.1271  0.6140  0.7572 -0.0034 -0.2853 -0.0493 -0.0084 -0.4619  0.1157 -0.7185 -0.2700  0.2041  0.3479  1.0342 -0.2066  0.0260 -1.0440  0.6687 -0.5240 -0.3729  0.2582  0.5372  0.4096 -0.0618 -0.2331  0.2088  0.0586  0.0728  0.1607  0.2279  0.1673 -0.0897 -0.0861
 -0.3519  1.5532  0.5761  0.6120  0.4426  0.6684  0.0145 -0.2711 -0.0183 -0.1264 -0.0137 -0.1778  0.3580 -0.3832  0.1287  0.5728  1.6509  2.1141  0.6806 -0.5706  0.0766 -0.2028  0.0365  0.3219 -0.1967  0.2736 -0.2538 -0.1384  0.1543  0.0608  0.3952  1.9646 -1.8104 -0.1231  1.3306  0.6681 -0.3780 -0.2292  0.3055  0.5176 -0.3706 -0.2269  0.4586 -0.1803  0.1447 -0.0201  0.1326 -0.1426  0.2486 -0.1325  0.2580
 -0.0346  0.9686 -0.4662  0.0982 -1.4644  0.9127  0.0315  0.1201 -0.2211 -0.0699 -0.2556 -0.2038 -0.3088 -0.3509  0.0227 -0.2010 -1.6838 -0.9228 -0.0199  0.0113 -0.1385  0.3090  0.0933 -0.1723  0.4371 -0.2595 -0.5408 -0.6067  0.3228 -0.4839 -0.3720 -1.0446  1.2890 -0.2210  0.9756 -1.0798 -0.4215  0.1190  0.0800  0.0064  0.0902  0.1037  0.4130 -0.0204  0.0289  0.0833  0.0307 -0.1845 -0.1818 -0.0628  0.0610
  1.1396  0.3245 -0.3822  0.3377 -1.4041 -0.5989  0.0615  0.3524  0.2156 -0.1427  0.1205  0.0035 -0.3567  0.1043 -0.4036  0.1757  1.0787  0.8600 -0.0198  0.8404 -0.7492  0.1261 -0.2212 -0.2893  0.3852  0.2615 -0.1281  0.3983 -0.1595 -0.3561 -0.0363  1.7206  0.7037  0.5417  1.1929  0.9019 -0.5227  0.0453  0.2260 -0.0881  0.2074  0.0207 -0.5453 -0.1470 -0.2016  0.5095  0.0869 -0.0969  0.2062  0.0232 -0.2415
  0.3405  1.1233 -0.5783  0.6503 -0.8231  0.2452  0.2246 -0.0403 -0.5188 -0.4448  0.0582 -0.1633 -0.4052 -0.1188 -0.1303 -0.4193  0.8488  0.1263 -0.6584  1.4755  0.9391 -0.1240  0.0247 -0.4044  0.0846  0.0382  0.1619  0.7056 -0.1072 -0.1020 -0.2637  1.9392 -0.8882  0.0575 -1.3016  0.7206 -0.2728  0.2098 -0.4958  0.0891  0.3910 -0.2336 -0.5177  0.0582 -0.1369 -0.4293  0.0240  0.0913 -0.1577 -0.2778 -0.1197
  0.8130 -0.0427 -0.2802 -0.5467  0.7759  0.6253  0.1104  0.3517 -0.0483  0.3393 -0.2339 -0.0981  0.4489  0.0983  0.1635 -0.2898 -1.9591 -1.1364 -0.7738 -1.7683  0.3835  0.3104  0.0726 -0.0841  0.2532 -0.2420  0.1389 -0.4821  0.2805  0.2428  0.5067 -0.7827  1.8326  0.0786 -1.5737 -0.3786  0.1136 -0.3871  0.3044  0.1167  0.1136  0.0929 -0.3233 -0.1831 -0.0271 -0.0971 -0.0025  0.0584  0.0458 -0.0306  0.0677
