VARS b 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50
FORMAT  %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f

 -0.8660 -0.3034 -0.4748 -0.1774 -0.5007 -0.2414 -0.0317 -0.9065  0.0517 -0.1627  0.1681  0.6137 -0.0691  0.0329  0.1614  0.0709  0.2598 -0.2554 -0.1435  0.1408  0.3799 -0.1978 -0.3767  0.1621 -0.0796  0.0040 -0.5613  0.1293 -0.0995  0.1769 -0.7003 -0.2492  0.5068  0.2279  0.2927  0.1724 -0.1703  0.5145  0.4972  0.3068  0.2571 -0.2604  0.3670 -0.1785  0.2174  0.0502  0.0192  0.5913 -0.3565  0.3887 -0.6820
 -1.2234 -0.5974  0.3210 -0.3772 -0.3311  0.1082  0.1845 -0.2853 -0.0136 -0.3680  0.3397  0.2872  0.3135 -0.2196  0.3975 -0.0568 -0.0388  0.0353 -0.3235  0.2105  0.3546  0.4300  0.1571  0.0144 -0.1164  0.0925 -0.1924  0.4544  0.1904 -0.4204 -0.5340  0.1678 -0.1114  0.1562  0.1179 -0.0873 -0.1421 -0.1391  0.2100  0.3474  0.0552  0.1000  0.3127  0.1628 -0.0065  0.0130  0.0401 -0.3198  0.0283 -0.1629 -0.3096
  1.0102  0.9080  0.1053  0.0341  0.0342  0.0017  0.5540 -0.1326 -0.0246 -0.3282  0.0455 -0.0331 -0.3621 -0.0695  0.3691 -0.5906 -0.2287 -0.0737  0.0001 -0.5079  0.2929  0.2212 -0.0302 -0.6120  0.0415  0.1132  0.5227 -0.1531  0.0025  0.3056 -0.2375  0.2200 -0.1778 -0.0901  0.0196  0.1416  0.0082  0.3225  0.1457 -0.3452 -0.2600  0.0623 -0.1431  0.7161  0.6399  0.1497  0.0690 -0.0168  0.0784 -0.2913  0.6523
 -1.6351  0.1252 -0.2032 -0.0397  0.2328 -0.5988  0.2972 -0.1325  0.5055  0.1776  0.2487  0.2567  0.0738 -0.0970  0.1972  0.2534 -1.1080  0.3125 -0.0431  0.0614 -0.0183  0.5761  0.4844  0.3598  0.1709 -0.1993 -0.5038  0.3175  0.6203  0.2822 -0.4404  0.2867 -0.0904 -0.0189 -0.0300 -0.1517 -0.1825 -0.0375 -0.4038  0.2135  0.2958 -0.2129 -0.2754  0.2942  0.6044 -0.3913  0.4919 -0.1263 -0.3371 -0.0942 -0.3970
  1.6223  0.0720 -0.1315 -0.2718  0.0701  0.4721 -0.0889 -0.1068 -0.0038  0.2078 -0.4536  0.0934  0.0792 -0.4907  0.1364 -0.7100 -0.2655  0.5859  0.1962 -0.4018 -0.0202 -0.2143 -0.2738 -0.0431 -0.3217  0.0520 -0.0112  0.0522 -0.3981 -0.0124  0.6904 -0.0773 -0.1138 -0.6687  0.3172 -0.0381  0.3406 -0.1253  0.1360 -0.1740  0.1115  0.3181  0.3122  0.1627 -0.1411 -0.2525  0.0708 -0.6192 -0.2611 -0.2968 -0.6441
 -1.3825  0.1817  0.0852  0.2548  0.0286  0.2921  0.3206 -0.3109  0.2128  0.3239 -0.0390 -0.1314  0.2361 -0.3549 -0.2003  0.2337 -0.2752  0.0019 -0.1110 -0.1815 -0.2598 -0.1189  0.0550  0.2400 -0.2458 -0.1475 -0.2074  0.2467  0.0481  0.2768  0.1275  0.2181  0.1712  0.1600  0.2296  0.2187  0.1736  0.0284  0.2544 -0.2333 -0.3428  0.1365  0.2464 -0.1021 -0.4051  0.2319 -0.0988 -0.3279 -0.0208 -0.1139  0.0045
 -1.3281  0.4848 -0.1790  0.0274  0.1562 -0.0625  0.0650 -0.1619  0.2954  0.2266  0.4059  0.4118  0.3235 -0.0673 -0.1315  0.1214 -0.0534 -0.0837 -0.0424 -0.0237 -0.1359 -0.0687  0.3136 -0.2312  0.3426 -0.2301 -0.3228  0.0074 -0.3459  0.4028  0.4011 -0.0206 -0.0597  0.0585  0.4494 -0.1254  0.3205  0.1080  0.3059  0.0384 -0.5640 -0.0172 -0.1972 -0.0842 -0.5218 -0.1511  0.0868 -0.1829 -0.1137 -0.3219  0.0072
 -0.6968  0.1333 -0.3342 -0.1501  0.2931  0.2542 -0.3819  0.1703  0.1036  0.0162  0.0417 -0.0301 -0.2210 -0.4703 -0.1317 -0.0806  0.2160  0.1314 -0.3216 -0.4213  0.2361  0.2294  0.2361 -0.0916 -0.0944 -0.0101  0.3941 -0.1566  0.2642  0.0303  0.6190  0.3270  0.0119  0.0422  0.0144 -0.2416  0.3181 -0.1794 -0.6104 -0.0413 -0.3940  0.1057 -0.0940  0.3052 -0.2909 -0.1997  0.0327 -0.3056  0.1969 -0.4632 -0.2556
  0.6806 -0.8126  0.6216  0.1660 -0.2135  0.1895 -0.6060 -0.0941 -0.5807 -0.1944 -0.2156  0.1527  0.1056 -0.4043  0.5620  0.4691 -0.4112 -0.2244  0.1202  0.1760 -0.0544 -0.1000  0.2961 -0.5949  0.5798  0.5517  0.0505  0.2877  0.6919  0.1537 -0.7435 -0.1454  0.2262  0.3235 -0.3731  0.4265 -0.2814 -0.2055  0.4080 -0.0234  0.3456  0.7285  0.0905  0.5956  0.4656 -0.3644  0.0394  0.2392  0.3974 -0.1518  0.6484
  0.8155 -0.1028  0.0708 -0.1026 -0.2458 -0.1012 -0.3037  0.1963 -0.2797 -0.6488 -0.1837  0.4943  0.1742  0.2122 -0.1325 -0.1060  0.2013 -0.0974  0.1648  0.0022 -0.0661 -0.0365  0.0139 -0.1303 -0.1547 -0.2928 -0.1366 -0.2830 -0.0277  0.1103 -1.5795  0.5528 -0.6562 -0.2205 -0.1728  0.2725 -0.4287  0.1242  0.1608 -0.1395  0.1219 -0.3319 -0.0396 -0.0687 -0.4554  0.6226 -0.2537  0.6423  0.3523  0.5385  0.3147
  0.2147 -0.2975  0.3265 -0.2184  0.2044 -0.1960 -0.2788  0.0186 -0.5337 -0.3704  0.0508  0.1538 -0.2086  0.3729  0.0642  0.1615  0.0721  0.0215  0.2994 -0.1574 -0.1252  0.6147 -0.4447 -0.3593 -0.1700  0.0747  0.4375  0.2790  0.1081 -0.1701  0.1513 -0.5201 -0.0412 -0.1194  0.4820 -0.2329 -0.0634 -0.1312 -0.2706  0.1486  0.1177  0.0663 -0.0187 -0.1546 -0.5582 -0.3962 -0.1408 -0.1912  0.4393  0.3592  0.0779
  0.4410 -0.3434  0.0489  0.2357  0.5185  0.0947  0.1307  0.3164  0.2003 -0.5389 -0.3098 -0.0160 -0.4716 -0.5324 -0.2809  0.4089  0.0424  0.0797  0.4404 -0.1295 -0.7837  0.5832  0.4117 -0.5575  0.6297  0.1531  0.6230  0.2335 -0.1239  0.0132 -0.8175  0.2837 -0.2450 -0.6022 -0.2813  0.2454 -0.0463  0.2136 -0.3045  0.6165  0.2403  0.4403  0.0116  0.3310 -0.2329 -0.1342 -0.0528  0.1472 -0.2452 -0.2047  0.0101
 -0.0575 -0.0024 -0.2348  0.1005 -0.2420  0.1846 -0.0578 -0.1593  0.1061 -0.1726 -0.3136  0.0453 -0.1785 -0.0120 -0.1189 -0.3412  0.0438 -0.1303 -0.5374 -0.2153  0.3577  0.0493  0.1049 -0.0313 -0.1288  0.4885  0.3302 -0.1386  0.0130  0.0021 -0.4227 -0.2322 -0.0361  0.0775 -0.1061 -0.1158 -0.0116  0.0164  0.0247  0.0313 -0.0301 -0.1354 -0.2957  0.3572  0.3328  0.0953  0.1074  0.0794 -0.0361 -0.2805 -0.2866
 -0.7344  0.2446 -0.1411  0.2421  0.2297  0.3593 -0.2212 -0.4899  0.1668  0.2910  0.3769 -0.4282 -0.0394  0.1760  0.3740 -0.3306 -0.1868 -0.0021  0.4766  0.0290  0.1325  0.1469 -0.0773  0.3014 -0.0738  0.1958  0.1557  0.4885  0.3405 -0.6835 -0.3116 -0.6985 -0.0292 -0.2087  0.4243 -0.1843 -0.0349 -0.8324  0.1965 -0.4260  0.1161 -0.1654 -0.0133 -0.0881 -0.3673 -0.2990  0.1289 -0.0171  0.2933 -0.2238  0.1509
  0.6343 -0.0133 -0.3595 -0.2799 -0.2289 -0.4299 -0.0395  0.1385 -0.4653 -0.7729  0.1422  0.4604 -0.1561 -0.3217  0.1945 -0.1344  0.2242 -0.2920 -0.2722  0.2197  0.0693 -0.3160  0.3716 -0.2204  0.1144  0.3691 -0.0086 -0.4722  0.3712  0.4584 -0.7279  0.5740 -0.5877 -0.4155 -0.3975  0.2584 -0.1316 -0.0875  0.1286 -0.2845 -0.0300  0.2158 -0.5091  0.3009  0.2816  0.5559 -0.1353  0.4383  0.4954 -0.8867 -0.0488
 -1.0057 -0.5288 -0.7274  0.1768  0.0875 -0.4459 -0.0606 -0.1589 -0.2385  0.3169 -0.1068  0.0412  0.0330  0.0773  0.1385 -0.0321  0.3151  0.2112  0.0481  0.5018 -0.2107 -0.1308 -0.3170 -0.2849  0.2216 -0.6015 -0.3369 -0.2501 -0.2291  0.6836  0.6232 -0.3442  0.2734 -0.2763  0.1174 -0.0095 -0.2268  0.1017  0.0987  0.1445  0.3232 -0.2032 -0.0581  0.2237 -0.2625  0.1746 -0.0359 -0.7686 -0.3851  0.8158 -0.2624
 -1.0102 -0.1047 -0.0211 -0.1980 -0.2894  0.3387  0.1944 -0.1032 -0.1725 -0.2215  0.2144  0.1760  0.3341 -0.2679 -0.1135  0.3417  0.6678 -0.2409 -0.2652  0.1664 -0.0567  0.2363 -0.0404 -0.0690  0.1332 -0.1513  0.4493  0.0140 -0.1515 -0.2513 -0.0808 -0.2875  0.0076  0.2835 -0.4843 -0.1172 -0.2506  0.3148  0.0568  0.4375  0.3231 -0.1871  0.4094  0.5824  0.1621  0.0226 -0.1970 -0.1766  0.0424 -0.4447  0.0654
  1.2433 -0.3143 -0.2820  0.0130  0.1861  0.3941 -0.0597 -0.2175  0.6306  0.3054 -0.0646  0.2398 -0.2161  0.3144  0.0306 -0.1522 -0.0442 -0.0833 -0.0811 -0.6048  0.6394 -0.1163 -0.4323 -0.3816 -0.0596 -0.2215  0.4114 -0.2437 -0.2455  0.4053  0.5795  0.0755  0.0010 -0.2025  0.5964  0.0752  0.2249  0.0893 -0.3975 -0.2965 -0.6779 -0.0357 -0.2715 -0.0673  0.2209 -0.0656  0.1805 -0.0875 -0.0932 -0.3038  0.2881
 -1.8522  0.3009 -0.1053  0.1138  0.1555 -0.5485  0.1283  0.0412  0.3689  0.8741  0.7567  0.3013 -0.2601  0.2154  0.2103 -0.2373 -0.0061  0.4948  0.1985  0.2015 -0.1444  0.4608  0.1770 -0.2145 -0.1248 -0.4191 -0.6536  0.2949  0.0122  0.0757 -0.3745  0.1335 -0.0982  0.5754  0.3592 -0.0688 -0.8432 -0.5225 -0.3571  0.0466  0.2063 -0.1457 -0.2782  0.4268  0.2430 -0.7131  0.4000  0.1863 -0.3395  0.2238 -0.1251
